Color Name,Collection Name,Gender Name,No,Description,Item UPC/EAN Number,Eye Size Description
PEA,Lulu Optical,Female,L739 PEA 51,Lulu Optical L739 PEA 51,764724286149,51
BLK,Lulu Optical,Female,L740 BLK 49,Lulu Optical L740 BLK 49,764724286101,49
BRN,Lulu Optical,Female,L740 BRN 49,Lulu Optical L740 BRN 49,764724286095,49
CAN,Lulu Optical,Female,L740 CAN 49,Lulu Optical L740 CAN 49,764724286118,49
RED,Lulu Optical,Female,L740 RED 49,Lulu Optical L740 RED 49,764724286088,49
,Lulu Optical,Female,L740S BRN 49,Lulu Optical L740S BRN 49,764724290115,
AME,Lulu Optical,Female,L741 AME 53,Lulu Optical L741 AME 53,764724286354,53
BLK,Lulu Optical,Female,L741 BLK 53,Lulu Optical L741 BLK 53,764724286347,53
BRN,Lulu Optical,Female,L741 BRN 53,Lulu Optical L741 BRN 53,764724286361,53
AME,Lulu Optical,Female,L742 AME 52,Lulu Optical L742 AME 52,764724286385,52
BRN,Lulu Optical,Female,L742 BRN 52,Lulu Optical L742 BRN 52,764724286392,52
INK,Lulu Optical,Female,L742 INK 52,Lulu Optical L742 INK 52,764724286378,52
BLK,Lulu Optical,Female,L743 BLK 52,Lulu Optical L743 BLK 52,764724286323,52
BUR,Lulu Optical,Female,L743 BUR 52,Lulu Optical L743 BUR 52,764724286316,52
BRN,Lulu Optical,Female,L744 BRN 50,Lulu Optical L744 BRN 50,764724286309,50
RED,Lulu Optical,Female,L744 RED 50,Lulu Optical L744 RED 50,764724286293,50
VIO,Lulu Optical,Female,L744 VIO 50,Lulu Optical L744 VIO 50,764724286286,50
,Lulu Optical,Female,L744S BLK 50,Lulu Optical L744S BLK 50,764724290139,
MID,Lulu Optical,Female,L745 MID 51,Lulu Optical L745 MID 51,764724300777,51
BRN,Lulu Optical,Female,L746 BRN 49,Lulu Optical L746 BRN 49,764724289454,49
BUR,Lulu Optical,Female,L746 BUR 49,Lulu Optical L746 BUR 49,764724289447,49
RGL,Lulu Optical,Female,L746 RGL 49,Lulu Optical L746 RGL 49,764724289423,49
VIO,Lulu Optical,Female,L746 VIO 49,Lulu Optical L746 VIO 49,764724289430,49
VIO,Lulu Optical,Female,L747 VIO 51,Lulu Optical L747 VIO 51,764724292225,51
BRN,Lulu Optical,Female,L748 BRN 52,Lulu Optical L748 BRN 52,764724292287,52
MID,Lulu Optical,Female,L748 MID 52,Lulu Optical L748 MID 52,764724292270,52
RED,Lulu Optical,Female,L748 RED 52,Lulu Optical L748 RED 52,764724292263,52
BRN,Lulu Optical,Female,L749 BRN 51,Lulu Optical L749 BRN 51,764724292324,51
INK,Lulu Optical,Female,L749 INK 51,Lulu Optical L749 INK 51,764724292317,51
RED,Lulu Optical,Female,L749 RED 51,Lulu Optical L749 RED 51,764724292300,51
ROG,Lulu Optical,Female,L749 ROG 51,Lulu Optical L749 ROG 51,764724292294,51
BRN,Lulu Optical,Female,L750 BRN 50,Lulu Optical L750 BRN 50,764724292355,50
BUR,Lulu Optical,Female,L750 BUR 50,Lulu Optical L750 BUR 50,764724292348,50
RGL,Lulu Optical,Female,L750 RGL 50,Lulu Optical L750 RGL 50,764724294090,50
VIO,Lulu Optical,Female,L750 VIO 50,Lulu Optical L750 VIO 50,764724292331,50
BLK,Lulu Optical,Female,L751 BLK 50,Lulu Optical L751 BLK 50,764724289492,50
BRN,Lulu Optical,Female,L751 BRN 50,Lulu Optical L751 BRN 50,764724289485,50
BUR,Lulu Optical,Female,L751 BUR 50,Lulu Optical L751 BUR 50,764724289478,50
VIO,Lulu Optical,Female,L751 VIO 50,Lulu Optical L751 VIO 50,764724289461,50
BLK,Lulu Optical,Female,L752 BLK 51,Lulu Optical L752 BLK 51,764724295264,51
BUR,Lulu Optical,Female,L752 BUR 51,Lulu Optical L752 BUR 51,764724295257,51
VIO,Lulu Optical,Female,L752 VIO 51,Lulu Optical L752 VIO 51,764724295240,51
BRN,Lulu Optical,Female,L754 BRN 53,Lulu Optical L754 BRN 53,764724300708,53
NAV,Lulu Optical,Female,L754 NAV 53,Lulu Optical L754 NAV 53,764724300692,53
WIN,Lulu Optical,Female,L754 WIN 53,Lulu Optical L754 WIN 53,764724300685,53
BRN,Lulu Optical,Female,L755 BRN 51,Lulu Optical L755 BRN 51,764724294953,51
BUR,Lulu Optical,Female,L755 BUR 51,Lulu Optical L755 BUR 51,764724294946,51
AME,Lulu Optical,Female,L756 AME 51,Lulu Optical L756 AME 51,764724294991,51
BRN,Lulu Optical,Female,L756 BRN 51,Lulu Optical L756 BRN 51,764724294984,51
BUR,Lulu Optical,Female,L756 BUR 51,Lulu Optical L756 BUR 51,764724294977,51
BRN,Lulu Optical,Female,L757 BRN 49,Lulu Optical L757 BRN 49,764724295028,49
NAV,Lulu Optical,Female,L757 NAV 49,Lulu Optical L757 NAV 49,764724295011,49
RAS,Lulu Optical,Female,L757 RAS 49,Lulu Optical L757 RAS 49,764724295004,49
BRN,Lulu Optical,Female,L759 BRN 50,Lulu Optical L759 BRN 50,764724300739,50
INK,Lulu Optical,Female,L759 INK 50,Lulu Optical L759 INK 50,764724300722,50
RED,Lulu Optical,Female,L759 RED 50,Lulu Optical L759 RED 50,764724300715,50
BRN,Lulu Optical,Female,L761 BRN 52,Lulu Optical L761 BRN 52,764724300760,52
NAV,Lulu Optical,Female,L761 NAV 52,Lulu Optical L761 NAV 52,764724300753,52
PLU,Lulu Optical,Female,L761 PLU 52,Lulu Optical L761 PLU 52,764724300746,52
BLK,Lulu Optical,Female,L762 BLK 53,Lulu Optical L762 BLK 53,764724305628,53
BRN,Lulu Optical,Female,L762 BRN 53,Lulu Optical L762 BRN 53,764724305611,53
NAV,Lulu Optical,Female,L762 NAV 53,Lulu Optical L762 NAV 53,764724305604,53
BLK,Lulu Optical,Female,L763 BLK 51,Lulu Optical L763 BLK 51,764724305659,51
BRN,Lulu Optical,Female,L763 BRN 51,Lulu Optical L763 BRN 51,764724305642,51
