Color Name,Collection Name,Gender Name,No,Description,Item UPC/EAN Number,Eye Size Description
BRN,Tura Sun,Unisex,001 BRN 99,Tura Sun 001 BRN 99,764724159283,99
GUN,Tura Sun,Unisex,001 GUN 99,Tura Sun 001 GUN 99,764724159290,99
PNK,Tura Sun,Female,002 PNK 55,Tura Sun 002 PNK 55,764724159214,55
BRN,Tura Sun,Female,003 BRN 60,Tura Sun 003 BRN 60,764724159481,60
BRP,Tura Sun,Female,003P BRP 60,Tura Sun 003P BRP 60,764724252403,60
GLD,Tura Sun,Female,004 GLD 60,Tura Sun 004 GLD 60,764724158484,60
GUN,Tura Sun,Female,004 GUN 60,Tura Sun 004 GUN 60,764724158491,60
GUP,Tura Sun,Female,005P GUP 60,Tura Sun 005P GUP 60,764724252427,60
ROP,Tura Sun,Female,005P ROP 60,Tura Sun 005P ROP 60,764724252410,60
BRN,Tura Sun,Female,006 BRN 60,Tura Sun 006 BRN 60,764724158552,60
EBO,Tura Sun,Female,006 EBO 60,Tura Sun 006 EBO 60,764724158545,60
TOR,Tura Sun,Female,007 TOR 56,Tura Sun 007 TOR 56,764724158392,56
PIN,Tura Sun,Female,008 PIN 57,Tura Sun 008 PIN 57,764724158477,57
GLD,Tura Sun,Female,009 GLD 59,Tura Sun 009 GLD 59,764724159245,59
GUN,Tura Sun,Female,009 GUN 59,Tura Sun 009 GUN 59,764724159238,59
BRN,Tura Sun,Female,011 BRN 59,Tura Sun 011 BRN 59,764724158439,59
GLD,Tura Sun,Female,011 GLD 59,Tura Sun 003P BRP 60,764724158415,59
GUN,Tura Sun,Female,011 GUN 59,Tura Sun 011 GUN 59,764724158422,59
COF,Tura Sun,Female,012 COF 58,Tura Sun 012 COF 58,764724248499,58
BLK,Tura Sun,Female,013 BLK 58,Tura Sun 013 BLK 58,764724248536,58
WHT,Tura Sun,Female,013 WHT 58,Tura Sun 013 WHT 58,764724248529,58
BLP,Tura Sun,Female,014P BLP 58,Tura Sun 014P BLP 58,764724252304,58
BRP,Tura Sun,Female,014P BRP 58,Tura Sun 014P BRP 58,764724252274,58
GRP,Tura Sun,Female,014P GRP 58,Tura Sun 014P GRP 58,764724252281,58
TOR,Tura Sun,Female,015 TOR 58,Tura Sun 015 TOR 58,764724252519,58
BUR,Tura Sun,Female,016 BUR 55,Tura Sun 016 BUR 55,764724252489,55
PUR,Tura Sun,Female,016 PUR 55,Tura Sun 016 PUR 55,764724252496,55
SIL,Tura Sun,Female,017 SIL 57,Tura Sun 017 SIL 57,764724252465,57
BLK,Tura Sun,Female,018 BLK 58,Tura Sun 018 BLK 58,764724252595,58
GLD,Tura Sun,Female,018 GLD 58,Tura Sun 018 GLD 58,764724252601,58
SIL,Tura Sun,Female,018 SIL 58,Tura Sun 018 SIL 58,764724252618,58
GRY,Tura Sun,Female,019 GRY 56,Tura Sun 019 GRY 56,764724252625,56
BRN,Tura Sun,Female,020 BRN 56,Tura Sun 020 BRN 56,764724267872,56
NAV,Tura Sun,Female,020 NAV 56,Tura Sun 020 NAV 56,764724267889,56
,Tura Sun,Female,021 PUR 56,Tura Sun 021 PUR 56,764724267902,Unassigned
IVO,Tura Sun,Female,022 IVO 60,Tura Sun 022 IVO 60,764724267957,60
PUR,Tura Sun,Female,022 PUR 60,Tura Sun 022 PUR 60,764724267933,60
TOR,Tura Sun,Female,022 TOR 60,Tura Sun 022 TOR 60,764724267926,60
ROS,Tura Sun,Female,023 ROS 58,Tura Sun 023 ROS 58,764724267971,58
SIL,Tura Sun,Female,023 SIL 58,Tura Sun 023 SIL 58,764724267964,58
PUR,Tura Sun,Female,024 PUR 54,Tura Sun 024 PUR 54,764724268008,54
BUR,Tura Sun,Female,025 BUR 58,Tura Sun 025 BUR 58,764724271046,58
BLU,Tura Sun,Female,026 BLU 56,Tura Sun 026 BLU 56,764724307875,56
GRA,Tura Sun,Female,026 GRA 56,Tura Sun 026 GRA 56,764724282974,56
NAV,Tura Sun,Female,026 NAV 56,Tura Sun 026 NAV 56,764724297923,56
TOR,Tura Sun,Female,026 TOR 56,Tura Sun 026 TOR 56,764724297916,56
BRN,Tura Sun,Female,027 BRN 58,Tura Sun 027 BRN 58,764724268022,58
GRN,Tura Sun,Female,027 GRN 58,Tura Sun 027 GRN 58,764724268039,58
BLK,Tura Sun,Female,028 BLK 56,Tura Sun 028 BLK 56,764724282707,56
RED,Tura Sun,Female,028 RED 56,Tura Sun 028 RED 56,764724282721,56
TOR,Tura Sun,Female,028 TOR 56,Tura Sun 028 TOR 56,764724282714,56
PUR,Tura Sun,Female,029 PUR 57,Tura Sun 029 PUR 57,764724285517,57
TOR,Tura Sun,Female,030 TOR 57,Tura Sun 030 TOR 57,764724285494,57
TOR,Tura Sun,Female,031 TOR 55,Tura Sun 031 TOR 55,764724285555,55
TOR,Tura Sun,Female,032 TOR 56,Tura Sun 032 TOR 56,764724285470,56
BLK,Tura Sun,Female,034 BLK 58,Tura Sun 034 BLK 58,764724290351,58
BRN,Tura Sun,Female,034 BRN 58,Tura Sun 034 BRN 58,764724290344,58
BRN,Tura Sun,Female,035 BRN 58,Tura Sun 035 BRN 58,764724289522,58
,Tura Sun,Female,035 GUN 58,Tura Sun 035 GUN 58,764724289515,
ROS,Tura Sun,Female,035 ROS 58,Tura Sun 035 ROS 58,764724289508,58
BRN,Tura Sun,Female,036 BRN 57,Tura Sun 036 BRN 57,764724292218,57
BUR,Tura Sun,Female,036 BUR 57,Tura Sun 036 BUR 57,764724292201,57
EBO,Tura Sun,Female,036 EBO 57,Tura Sun 036 EBO 57,764724292195,57
TOR,Tura Sun,Female,036 TOR 57,Tura Sun 036 TOR 57,764724292188,57
BLK,Tura Sun,Female,037 BLK 56,Tura Sun 037 BLK 56,764724297794,56
WIN,Tura Sun,Female,037 WIN 56,Tura Sun 037 WIN 56,764724297800,56
PUR,Tura Sun,Female,038 PUR 55,Tura Sun 038 PUR 55,764724297817,55
TOR,Tura Sun,Female,038 TOR 55,Tura Sun 038 TOR 55,764724297824,55
BLK,Tura Sun,Female,039 BLK 54,Tura Sun 039 BLK 54,764724297831,54
BLK,Tura Sun,Female,040 BLK 56,Tura Sun 040 BLK 56,764724297855,56
TOR,Tura Sun,Female,040 TOR 56,Tura Sun 040 TOR 56,764724297862,56
GLD,Tura Sun,Female,041 GLD 55,Tura Sun 041 GLD 55,764724300876,55
GUN,Tura Sun,Female,041 GUN 55,Tura Sun 041 GUN 55,764724300883,55
ROS,Tura Sun,Female,041 ROS 55,Tura Sun 041 ROS 55,764724307851,55
BRN,Tura Sun,Female,042 BRN 56,Tura Sun 042 BRN 56,764724297879,56
NAV,Tura Sun,Female,042 NAV 56,Tura Sun 042 NAV 56,764724297886,56
BUR,Tura Sun,Female,043 BUR 55,Tura Sun 043 BUR 55,764724297893,55
TOR,Tura Sun,Female,043 TOR 55,Tura Sun 043 TOR 55,764724297909,55
ROS,Tura Sun,Female,044 ROS 54,Tura Sun 044 ROS 54,764724303600,54
TOR,Tura Sun,Female,044 TOR 54,Tura Sun 044 TOR 54,764724303594,54
BON,Tura Sun,Female,045 BON 54,Tura Sun 045 BON 54,764724304669,54
,Tura Sun,Female,045 NAV 54,Tura Sun 045 NAV 54,764724304676,
BLK,Tura Sun,Female,046 BLK 56,Tura Sun 046 BLK 56,764724309978,56
BRN,Tura Sun,Female,046 BRN 56,Tura Sun 046 BRN 56,764724309961,56
BLK,Tura Sun,Female,047 BLK 53,Tura Sun 047 BLK 53,764724309992,53
TOR,Tura Sun,Female,047 TOR 53,Tura Sun 047 TOR 53,764724309985,53
BLK,Tura Sun,Female,048 BLK 52,Tura Sun 048 BLK 52,764724310233,52
TOR,Tura Sun,Female,048 TOR 52,Tura Sun 048 TOR 52,764724310240,52
BLK,Tura Sun,Female,049 BLK 54,Tura Sun 049 BLK 54,764724310257,54
TOR,Tura Sun,Female,049 TOR 54,Tura Sun 049 TOR 54,764724310264,54
BUR,Tura Sun,Female,050 BUR 57,Tura Sun 050 BUR 57,764724310271,57
TOR,Tura Sun,Female,050 TOR 57,Tura Sun 050 TOR 57,764724310288,57
BLU,Tura Sun,Female,051 BLU 54,Tura Sun 051 BLU 54,764724310295,54
HUN,Tura Sun,Female,051 HUN 54,Tura Sun 051 HUN 54,764724310301,54
RAS,Tura Sun,Female,051 RAS 54,Tura Sun 051 RAS 54,764724310318,54
BLK,Tura Sun,Female,052 BLK 56,Tura Sun 052 BLK 56,764724310325,56
TOR,Tura Sun,Female,052 TOR 56,Tura Sun 052 TOR 56,764724310332,56
GLD,Tura Sun,Female,053 GLD 58,Tura Sun 053 GLD 58,764724312817,58
SAN,Tura Sun,Female,053 SAN 58,Tura Sun 053 SAN 58,764724312800,58
BLK,Tura Sun,Female,054 BLK 56,Tura Sun 054 BLK 56,764724317775,56
TOR,Tura Sun,Female,054 TOR 56,Tura Sun 054 TOR 56,764724317768,56
BLK,Tura Sun,Female,055 BLK 54,Tura Sun 055 BLK 54,764724317751,54
TOR,Tura Sun,Female,055 TOR 54,Tura Sun 055 TOR 54,764724317744,54
BLK,Tura Sun,Female,056 BLK 54,Tura Sun 056 BLK 54,764724336677,54
TOR,Tura Sun,Female,056 TOR 54,Tura Sun 056 TOR 54,764724336660,54
BLK,Tura Sun,Female,057 BLK 56,Tura Sun 057 BLK 56,764724336691,56
TOR,Tura Sun,Female,057 TOR 56,Tura Sun 057 TOR 56,764724336684,56
BLK,Tura Sun,Female,058 BLK 56,Tura Sun 058 BLK 56,764724336707,56
TOR,Tura Sun,Female,058 TOR 56,Tura Sun 058 TOR 56,764724336714,56
BLK,Tura Sun,Female,059 BLK 54,Tura Sun 059 BLK 54,764724336738,54
WHT,Tura Sun,Female,059 WHT 54,Tura Sun 059 WHT 54,764724336721,54
BLK,Tura Sun,Female,060 BLK 54,Tura Sun 060 BLK 54,764724336752,54
TOR,Tura Sun,Female,060 TOR 54,Tura Sun 060 TOR 54,764724336745,54
BLK,Tura Sun,Female,061 BLK 54,Tura Sun 061 BLK 54,764724336806,54
BON,Tura Sun,Female,061 BON 54,Tura Sun 061 BON 54,764724336813,54
BLK,Tura Sun,Female,062 BLK 53,Tura Sun 062 BLK 53,764724336769,53
TOR,Tura Sun,Female,062 TOR 53,Tura Sun 062 TOR 53,764724336776,53
BLK,Tura Sun,Female,063 BLK 54,Tura Sun 063 BLK 54,764724336790,54
BRN,Tura Sun,Female,063 BRN 54,Tura Sun 063 BRN 54,764724336783,54
BLK,Tura Sun,Female,063A BLK 54,Tura Sun 063A BLK 54,764724342265,54
BRN,Tura Sun,Female,063A BRN 54,Tura Sun 063A BRN 54,764724342272,54
BLK,Tura Sun,Female,064 BLK 54,Tura Sun 064 BLK 54,764724372231,54
TOR,Tura Sun,Female,064 TOR 54,Tura Sun 064 TOR 54,764724372248,54
BLK,Tura Sun,Female,065 BLK 56,Tura Sun 065 BLK 56,764724372255,56
BON,Tura Sun,Female,065 BON 56,Tura Sun 065 BON 56,764724372262,56
BLK,Tura Sun,Female,066 BLK 54,Tura Sun 066 BLK 54,764724372279,54
TOR,Tura Sun,Female,066 TOR 54,Tura Sun 066 TOR 54,764724372286,54
BLK,Tura Sun,Female,067 BLK 55,Tura Sun 067 BLK 55,764724372293,55
BRN,Tura Sun,Female,067 BRN 55,Tura Sun 067 BRN 55,764724372309,55
BLK,Tura Sun,Female,068 BLK 55,Tura Sun 068 BLK 55,764724372323,55
BRN,Tura Sun,Female,068 BRN 55,Tura Sun 068 BRN 55,764724372316,55
BLK,Tura Sun,Female,069 BLK 54,Tura Sun 069 BLK 54,764724372330,54
BLU,Tura Sun,Female,069 BLU 54,Tura Sun 069 BLU 54,764724372347,54
BLK,Tura Sun,Female,070 BLK 50,Tura Sun 070 BLK 50,764724372354,50
TOR,Tura Sun,Female,070 TOR 50,Tura Sun 070 TOR 50,764724372361,50
DGN,Tura Sun,Female,071 DGN 57,Tura Sun 071 DGN 57,764724372385,57
GLD,Tura Sun,Female,071 GLD 57,Tura Sun 071 GLD 57,764724372378,57
ROS,Tura,Female,129 ROS 53,Tura 129 ROS 53,764724149208,53
EBO,Tura,Female,150 EBO 51,Tura 150 EBO 51,764724153861,51
BRN,Tura,Female,182 BRN 51,Tura 182 BRN 51,764724155308,51
GLD,Tura,Female,182 GLD 51,Tura 182 GLD 51,764724155322,51
GLD,Tura,Female,182 GLD 53,Tura 182 GLD 53,764724155339,53
Unassigned,Tura,Female,182 STS 51,Tura 182 STS 51,764724155346,51
AME,Tura,Female,187 AME 51,Tura 187 AME 51,764724155247,51
AME,Tura,Female,187 AME 53,Tura 187 AME 53,764724155254,53
GUN,Tura,Female,187 GUN 51,Tura 187 GUN 51,764724155285,51
ROS,Tura,Female,195 ROS 51,Tura 195 ROS 51,764724154738,51
,Tura,Female,263 BRN 50,Tura 263 BRN 50,764724155186,
WIN,Tura,Female,270 WIN 52,Tura 270 WIN 52,764724154875,52
BRN,Tura,Female,271 BRN 51,Tura 271 BRN 51,764724155384,51
ONY,Tura,Female,271 ONY 53,Tura 271 ONY 53,764724155414,53
BRN,Tura,Female,274 BRN 54,Tura 274 BRN 54,764724157074,54
BUR,Tura,Female,274 BUR 52,Tura 274 BUR 52,764724157043,52
BUR,Tura,Female,274 BUR 54,Tura 274 BUR 54,764724157081,54
BLU,Tura,Female,277 BLU 51,Tura 277 BLU 51,764724157104,51
ROS,Tura,Female,277 ROS 51,Tura 277 ROS 51,764724157142,51
ROS,Tura,Female,277 ROS 53,Tura 277 ROS 53,764724157159,53
BUR,Tura,Female,286 BUR 50,Tura 286 BUR 50,764724157548,50
GLD,Tura,Female,286 GLD 52,Tura 286 GLD 52,764724157593,52
ROS,Tura,Female,291 ROS 55,Tura 291 ROS 55,764724159429,55
BUR,Tura,Female,292 BUR 53,Tura 292 BUR 53,764724160340,53
TEA,Tura,Female,292 TEA 53,Tura 292 TEA 53,764724160357,53
ROS,Tura,Female,293 ROS 53,Tura 293 ROS 53,764724159368,53
Unassigned,Tura,Female,293 SBL 53,Tura 293 SBL 53,764724159382,53
,Combo,,3008,3008 Misc SKU - Hudson,764724990435,
BLK,Tura,Female,311 BLK 54,Tura 311 BLK 54,764724341428,54
BLK,Tura,Female,311 BLK 57,Tura 311 BLK 57,764724341411,57
BRN,Tura,Female,311 BRN 54,Tura 311 BRN 54,764724341466,54
BRN,Tura,Female,311 BRN 57,Tura 311 BRN 57,764724341459,57
EBO,Tura,Female,311 EBO 54,Tura 311 EBO 54,764724008956,54
EBO,Tura,Female,311 EBO 57,Tura 311 EBO 57,764724008963,57
OLI,Tura,Female,311 OLI 54,Tura 311 OLI 54,764724341442,54
OLI,Tura,Female,311 OLI 57,Tura 311 OLI 57,764724341435,57
RED,Tura,Female,311 RED 54,Tura 311 RED 54,764724009038,54
RED,Tura,Female,311 RED 57,Tura 311 RED 57,764724009045,57
,Tura,Female,311 TOR 51,Tura 311 TOR 51,,
TOR,Tura,Female,311 TOR 54,Tura 311 TOR 54,764724009199,54
TOR,Tura,Female,311 TOR 57,Tura 311 TOR 57,764724009205,57
,Tura,Female,3111 NAV 54,Tura 3111 NAV 54,,
BLS,Tura Sun,Female,311S BLS 54,Tura Sun 311S BLS 54,764724341473,54
BLU,Tura Sun,Female,311S BLU 54,Tura Sun 311S BLU 54,764724341497,54
TEA,Tura Sun,Female,311S TEA 54,Tura Sun 311S TEA 54,764724341480,54
BLK,Tura,Female,324 BLK 50,Tura 324 BLK 50,764724160371,50
BRN,Tura,Female,324 BRN 52,Tura 324 BRN 52,764724160401,52
ROS,Tura,Female,324 ROS 50,Tura 324 ROS 50,764724160418,50
ROS,Tura,Female,324 ROS 52,Tura 324 ROS 52,764724160425,52
,OIO Optical,,3404 51 42,OIO Optical 3404 51 42,764724214678,
,OIO Optical,,3502 70 41,OIO Optical 3502 70 41,764724232610,
Unassigned,Non-Frame,Unassigned,3545,anti-fog wet tissue (box of 30) Hudson,3545,Unassigned
Unassigned,Non-Frame,Unassigned,3556,anti-fog wet tissue (box of 30) Madison,3556,Unassigned
,Crush Optical,Male,3594 70 51,Crush Optical 3594 70 51,764724216948,
10,TITANflex Optical,Male,3666 10 47,TITANflex 3666 10 47,764724805432,47
20,TITANflex Optical,Male,3666 20 47,TITANflex Optical 3666 20 47,764724805425,47
,Tura,Female,369 BRN 50,Tura 369 BRN 50,764724161132,
GUN,Tura,Female,369 GUN 50,Tura 369 GUN 50,764724161156,50
GUN,Tura,Female,369 GUN 52,Tura 369 GUN 52,764724161163,52
ROS,Tura,Female,369 ROS 50,Tura 369 ROS 50,764724161170,50
ROS,Tura,Female,369 ROS 52,Tura 369 ROS 52,764724161187,52
WIN,Tura,Female,369 WIN 50,Tura 369 WIN 50,764724161194,50
WIN,Tura,Female,369 WIN 52,Tura 369 WIN 52,764724161200,52
,TITANflex Optical,,3855 03 56,TITANflex Optical 3855 03 56,764724220105,
,TITANflex Optical,,3855 55 52,TITANflex Optical 3855 55 52,764724220280,
,TITANflex Optical,,3855 56 51,TITANflex Optical 3855 56 51,764724220297,
,TITANflex Optical,,3855 64 56,TITANflex Optical 3855 64 56,764724220341,
,TITANflex Optical,,3855 70 54,TITANflex Optical 3855 70 54,764724220358,
,TITANflex Optical,,3855 73 51,TITANflex Optical 3855 73 51,764724220389,
,TITANflex Optical,,3855 74 55,TITANflex Optical 3855 74 55,764724220396,
,Combo,,3908,3908 Misc Sku - madison,764724990442,
BLS,Tura,Female,399 BLS 50,Tura 399 BLS 50,764724160531,50
BLS,Tura,Female,399 BLS 52,Tura 399 BLS 52,764724160548,52
BRN,Tura,Female,399 BRN 52,Tura 399 BRN 52,764724160524,52
EGP,Tura,Female,399 EGP 50,Tura 399 EGP 50,764724160555,50
GUN,Tura,Female,399 GUN 50,Tura 399 GUN 50,764724160579,50
GUN,Tura,Female,399 GUN 52,Tura 399 GUN 52,764724160586,52
BRN,Tura,Female,499 BRN 53,Tura 499 BRN 53,764724160593,53
SLA,Tura,Female,499 SLA 53,Tura 499 SLA 53,764724160616,53
SLA,Tura,Female,499 SLA 55,Tura 499 SLA 55,764724160623,55
WIN,Tura,Female,499 WIN 53,Tura 499 WIN 53,764724160630,53
,Combo,,500006 10 48,Madison Combo 500006 10 48,764724248970,
,Combo,,500006 30 48,Madison Combo 500006 30 48,764724248987,
,Combo,,500011 10 54,Madison Combo 500011 10 54,764724249021,
,Combo,,500011 50 54,Madison Combo 500011 50 54,764724249038,
,Combo,,500011 60 54,Madison Combo 500011 60 54,764724249045,
,Combo,,500012 10 56,Madison Combo 500012 10 56,764724249113,
,Combo,,500012 50 56,Madison Combo 500012 50 56,764724249137,
,Combo,,500012 60 56,Madison Combo 500012 60 56,764724249618,
,Combo,,500015 10 49,Madison Combo 500015 10 49,764724266684,
,Combo,,500015 30 49,Madison Combo 500015 30 49,764724266691,
,Combo,Female,500017 30 53,Madison Combo 500017 30 53,764724256388,
,Combo,Female,500017 70 53,Madison Combo 500017 70 53,764724256395,
,Combo,,502000 10 50,Madison Combo 502000 10 50,764724249342,
,Combo,,502001 10 51,Madison Combo 502001 10 51,764724249373,
,Combo,,502008 10 51,Madison Combo 502008 10 51,764724249427,
,Combo,,502008 50 51,Madison Combo 502008 50 51,764724249434,
,Combo,,502008 60 51,Madison Combo 502008 60 51,764724249441,
,Combo,,502009 30 53,Madison Combo 502009 30 53,764724249465,
,Combo,,502012 10 51,Madison Combo 502012 10 51,764724249472,
,Combo,,502012 60 51,Madison Combo 502012 60 51,764724249496,
,Combo,,502013 30 50,Madison Combo 502013 30 50,764724249502,
,Combo,,502013 50 50,Madison Combo 502013 50 50,764724249519,
,Combo,,502013 60 50,Madison Combo 502013 60 50,764724249526,
,Combo,,502015 10 51,Madison Combo 502015 10 51,764724249533,
,Combo,,502015 50 51,Madison Combo 502015 50 51,764724249540,
,Combo,,502015 60 51,Madison Combo 502015 60 51,764724249557,
,Combo,,502021 10 53,Madison Combo 502021 10 53,764724258047,
,Combo,,502021 50 53,Madison Combo 502021 50 53,764724258054,
,Combo,,502021 60 53,Madison Combo 502021 60 53,764724258061,
,Combo,Male,502022 10 53,Madison Combo 502022 10 53,764724258078,
,Combo,Male,502022 30 53,Madison Combo 502022 30 53,764724258085,
,Combo,,502024 10 52,Madison Combo 502024 10 52,764724258429,
,Combo,,502024 50 52,Madison Combo 502024 50 52,764724258436,
,Combo,,502024 60 52,Madison Combo 502024 60 52,764724258443,
,Combo,,502024 70 52,Madison Combo 502024 70 52,764724258450,
,Combo,,502025 10 52,Madison Combo 502025 10 52,764724258467,
,Combo,,502025 60 52,Madison Combo 502025 60 52,764724258481,
,Combo,,502026 30 53,Madison Combo 502026 30 53,764724256296,
,Combo,,502027 30 54,Madison Combo 502027 30 54,764724256326,
,Combo,,502033 60 53,Madison Combo 502033 60 53,764724268794,
,Combo,,502033 70 53,Madison Combo 502033 70 53,764724268800,
,Combo,Female,502035 60 51,Madison Combo 502035 60 51,764724268831,
,Combo,Female,502035 61 51,Madison Combo 502035 61 51,764724268848,
,Combo,Female,502035 70 51,Madison Combo 502035 70 51,764724268855,
,Combo,Female,502036 50 53,Madison Combo 502036 50 53,764724268862,
,Combo,Female,502036 60 53,Madison Combo 502036 60 53,764724268879,
,Combo,Female,502036 70 53,Madison Combo 502036 70 53,764724268886,
,Combo,Male,502038 70 54,Madison Combo 502038 70 54,764724268916,
,Combo,Male,502039 30 55,Madison Combo 502039 30 55,764724268954,
,Combo,,503007 50 52,Madison Combo 503007 50 52,764724249298,
,Combo,,503007 60 52,Madison Combo 503007 60 52,764724249304,
,Combo,,503007 70 52,Madison Combo 503007 70 52,764724249311,
,Combo,,503009 60 54,Madison Combo 503009 60 54,764724249250,
,Combo,,503011 10 52,Madison Combo 503011 10 52,764724249212,
,Combo,,503011 67 52,Madison Combo 503011 67 52,764724249236,
,Combo,Female,503012 50 53,Madison Combo 503012 50 53,764724249199,
,Madison Combo,Female,503013 60 49,Madison Combo 503013 60 49,764724262341,
,Madison Combo,,503015 10 51,Madison Combo 503015 10 51,764724257200,
,Madison Combo,,503015 50 51,Madison Combo 503015 50 51,764724257217,
,Combo,,503015 60 51,Madison Combo 503015 60 51,764724257224,
,Madison Combo,,503016 10 49,Madison Combo 503016 10 49,764724257279,
,Madison Combo,,503016 50 49,Madison Combo 503016 50 49,764724257286,
,Madison Combo,,503016 60 49,Madison Combo 503016 60 49,764724257293,
,Madison Combo,Male,503018 10 52,Madison Combo 503018 10 52,764724262716,
,Madison Combo,Male,503018 40 52,Madison Combo 503018 40 52,764724262723,
,Madison Combo,Male,503018 60 52,Madison Combo 503018 60 52,764724262730,
,Madison Combo,,503019 10 53,Madison Combo 503019 10 53,764724258207,
,Madison Combo,,503019 60 53,Madison Combo 503019 60 53,764724258214,
,Madison Combo,,503019 70 53,Madison Combo 503019 70 53,764724258221,
,Madison Combo,,505002 11 58,Madison Combo 505002 11 58,764724257774,
,Madison Combo,,505016 50 58,Madison Combo 505016 50 58,764724257699,
,Madison Combo,,505017 10 60,Madison Combo 505017 10 60,764724257910,
,Madison Combo,,505017 30 60,Madison Combo 505017 30 60,764724257927,
,Madison Combo,,505017 50 60,Madison Combo 505017 50 60,764724257934,
,Combo,,505018 60 60,Madison Combo 505018 60 60,764724257958,
,Madison Combo,,506002 10 55,Madison Combo 506002 10 55,764724257866,
,Madison Combo,,506002 50 55,Madison Combo 506002 50 55,764724257873,
,Madison Combo,,506012 30 57,Madison Combo 506012 30 57,764724258016,
,Madison Combo,,506012 60 57,Madison Combo 506012 60 57,764724258023,
,Madison Combo,,506012 66 57,Madison Combo 506012 66 57,764724258030,
,Madison Combo,,506023 60 57,Madison Combo 506023 60 57,764724257712,
,Madison Combo,,506023 70 57,Madison Combo 506023 70 57,764724257729,
,Madison Combo,,506024 60 56,Madison Combo 506024 60 56,764724257750,
,Madison Combo,,506026 10 55,Madison Combo 506026 10 55,764724257996,
,Madison Combo,,506026 60 55,Madison Combo 506026 60 55,764724258009,
,Madison Combo,,506033 10 57,Madison Combo 506033 10 57,764724257965,
,Madison Combo,,506033 50 57,Madison Combo 506033 50 57,764724257972,
,Madison Combo,,506033 60 57,Madison Combo 506033 60 57,764724257989,
,Madison Combo,,5112 90 36,Madison Combo 5112 90 36,764724222161,
,Madison Combo,,5113 30 36,Madison Combo 5113 30 36,764724222178,
,Madison Combo,,5120 10 36,Madison Combo 5120 10 36,764724222338,
NAV,Tura,Female,516 NAV 53,Tura 516 NAV 53,764724160760,53
NAV,Tura,Female,516 NAV 55,Tura 516 NAV 55,764724160777,55
ROS,Tura,Female,531 ROS 50,Tura 531 ROS 50,764724160692,50
STB,Tura,Female,531 STB 52,Tura 531 STB 52,764724160739,52
BLU,Tura,Female,538 BLU 51,Tura 538 BLU 51,764724249052,51
BRN,Tura,Female,538 BRN 53,Tura 538 BRN 53,764724249083,53
LIL,Tura,Female,538 LIL 53,Tura 538 LIL 53,764724249144,53
PEW,Tura,Female,539 PEW 51,Tura 539 PEW 51,764724246389,51
BLU,Tura,Female,543 BLU 52,Tura 543 BLU 52,764724161590,52
BLU,Tura,Female,543 BLU 54,Tura 543 BLU 54,764724161606,54
BRN,Tura,Female,543 BRN 54,Tura 543 BRN 54,764724158675,54
BUR,Tura,Female,543 BUR 52,Tura 543 BUR 52,764724158682,52
BUR,Tura,Female,543 BUR 54,Tura 543 BUR 54,764724158699,54
LIL,Tura,Female,543 LIL 54,Tura 543 LIL 54,764724158712,54
GUN,Tura,Female,544 GUN 50,Tura 544 GUN 50,764724161699,50
GUN,Tura,Female,544 GUN 52,Tura 544 GUN 52,764724161705,52
MER,Tura,Female,544 MER 50,Tura 544 MER 50,764724161736,50
BLK,Tura,Female,545 BLK 52,Tura 545 BLK 52,764724251567,52
BLK,Tura,Female,545 BLK 54,Tura 545 BLK 54,764724251574,54
BRN,Tura,Female,545 BRN 52,Tura 545 BRN 52,764724251581,52
BUR,Tura,Female,545 BUR 52,Tura 545 BUR 52,764724251604,52
EBG,Tura,Female,546 EBG 52,Tura 546 EBG 52,764724246037,52
BRN,Tura,Female,547 BRN 52,Tura 547 BRN 52,764724159832,52
EGP,Tura,Female,547 EGP 52,Tura 547 EGP 52,764724159894,52
EGP,Tura,Female,547 EGP 54,Tura 547 EGP 54,764724159900,54
EGP,Tura,Female,577 EGP 51,Tura 577 EGP 51,764724251376,51
GRY,Tura,Female,577 GRY 51,Tura 577 GRY 51,764724251383,51
TOR,Tura,Female,577 TOR 51,Tura 577 TOR 51,764724251406,51
Unassigned,Tura,Female,579 GUG 51,Tura 579 GUG 51,764724251314,51
Unassigned,Tura,Female,579 GUG 53,Tura 579 GUG 53,764724251321,53
PUR,Tura,Female,579 PUR 51,Tura 579 PUR 51,764724251338,51
PUR,Tura,Female,579 PUR 53,Tura 579 PUR 53,764724251345,53
WIN,Tura,Female,579 WIN 51,Tura 579 WIN 51,764724251352,51
WIN,Tura,Female,579 WIN 53,Tura 579 WIN 53,764724251369,53
40,Humphreys Optical,Female,580033 40 48,Humphreys Optical 580033 40 48,764724808143,48
60,Humphreys Optical,Female,580033 60 48,Humphreys Optical 580033 60 48,764724808129,48
70,Humphreys Optical,Female,580033 70 48,Humphreys Optical 580033 70 48,764724808112,48
30,Humphreys Optical,Female,580035 30 48,Humphreys Optical 580035 30 48,764724475581,48
40,Humphreys Optical,Female,580035 40 48,Humphreys Optical 580035 40 48,764724475574,48
57,Humphreys Optical,Female,580035 57 48,Humphreys Optical 580035 57 48,764724807689,48
,Humphreys Optical,,581006 55 51,Humphreys Optical 581006 55 51,764724249816,
60,Humphreys Optical,Female,581006 60 51,Humphreys Optical 581006 60 51,764724249823,51
10,Humphreys Optical,Female,581009 10 51,Humphreys Optical 581009 10 51,764724291976,51
